Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Currency Unit
BIS,EPSRC,07/01/2015,Photocopy Costs,JRS,Axis,72410067,231.98,GBP
BIS,EPSRC,07/01/2015,Staff Training,Digital Communications,THE WEB DESIGN ACADEMY LTD,73679062,1075,GBP
BIS,EPSRC,07/01/2015,Photocopy Costs,JRS,PG Events Ltd,75706063,729.6,GBP
BIS,EPSRC,07/01/2015,Photocopy Costs,JRS,Brook Street (Uk) Ltd,76157060,341.86,GBP
BIS,EPSRC,07/01/2015,Meetings & Catering,Programme Delivery Maths,Posterboards Direct,76291060,-237,GBP
BIS,EPSRC,07/01/2015,Meetings & Catering,Programme Delivery Maths,Posterboards Direct,76293060,284.4,GBP
BIS,EPSRC,07/01/2015,Meetings & Catering,Programme Delivery Manufacturing,University of Strathclyde,76323062,201.12,GBP
BIS,EPSRC,07/01/2015,UK - Professional Memberships & Subscriptions,Programme Delivery Impact,PraxisUnico,76332063,695,GBP
BIS,EPSRC,07/01/2015,Photocopy Costs,JRS,Banner Business Services Limited,76343167,102.14,GBP
BIS,EPSRC,07/01/2015,Printing & Stationery,EPSRC Corporate Services,Banner Business Services Limited,76343169,6.65,GBP
BIS,EPSRC,07/01/2015,Printing & Stationery,EPSRC Corporate Services,Banner Business Services Limited,76343170,24.05,GBP
BIS,EPSRC,07/01/2015,Health & Safety (inc. Medicals & Opticians),PSU HR,Swindon Occupational Medical Services Ltd,76371060,230,GBP
BIS,EPSRC,07/01/2015,T&S UK - Public Transport,Programme Delivery Physical Sciences,Unspecified,76391097,5.9,GBP
BIS,EPSRC,07/01/2015,T&S UK - Public Transport,Programme Delivery Physical Sciences,Unspecified,76391097,50,GBP
BIS,EPSRC,07/01/2015,T&S UK - Subsistence,Programme Delivery Physical Sciences,Unspecified,76391097,10,GBP
BIS,EPSRC,07/01/2015,T&S UK - Public Transport,Programme Delivery Maths,Unspecified,76391098,8,GBP
BIS,EPSRC,07/01/2015,T&S UK - Subsistence,Programme Delivery Maths,Unspecified,76391098,5,GBP
BIS,EPSRC,07/01/2015,T&S UK - Subsistence,Programme Delivery Maths,Unspecified,76391098,15.95,GBP
BIS,EPSRC,07/01/2015,T&S UK - Subsistence,Programme Delivery Capability,Unspecified,76391099,10.9,GBP
BIS,EPSRC,07/01/2015,T&S UK - Public Transport,Programme Delivery Manufacturing,Unspecified,76391100,1.2,GBP
BIS,EPSRC,07/01/2015,T&S UK - Public Transport,Programme Delivery Manufacturing,Unspecified,76391100,8,GBP
BIS,EPSRC,07/01/2015,T&S UK - Public Transport,Programme Delivery Manufacturing,Unspecified,76391100,67.5,GBP
BIS,EPSRC,07/01/2015,T&S UK - Mileage,Programme Delivery Digital Economy,Unspecified,76391101,25.2,GBP
BIS,EPSRC,08/01/2015,Staff Training,Communications and Stakeholder Engagement,Chartered Institute of Public Relations (CIPR),71178061,320,GBP
BIS,EPSRC,08/01/2015,Marketing & PR,Communications and Stakeholder Engagement,STIRLING MEDIA LTD,73601641,300,GBP
BIS,EPSRC,08/01/2015,T&S UK - Public Transport,Programme Delivery GU,Enterprise Rent-A-Car UK Ltd,76434061,69.36,GBP
BIS,EPSRC,08/01/2015,Photocopy Costs,JRS,Interaction Recruitment,76435124,376.2,GBP
BIS,EPSRC,08/01/2015,Photocopy Costs,JRS,Oce (UK) Finance Ltd,76482069,6629.23,GBP
BIS,EPSRC,08/01/2015,Telecoms - Tele/ Video conferencing,EPSRC Corporate Services,InterCall Conferencing Services Ltd,76482114,149.9,GBP
BIS,EPSRC,08/01/2015,Telecoms - Tele/ Video conferencing,EPSRC Corporate Services,InterCall Conferencing Services Ltd,76482114,749.52,GBP
BIS,EPSRC,08/01/2015,Telecoms - Tele/ Video conferencing,EPSRC Corporate Services,InterCall Conferencing Services Ltd,76482120,740.87,GBP
BIS,EPSRC,09/01/2015,Consultancy Services,Programme Delivery Infrastructure,Research Consulting Ltd,74214448,15285,GBP
BIS,EPSRC,09/01/2015,Conferences & Seminars,Programme Delivery Maths,Smith Institute,76516061,420,GBP
BIS,EPSRC,09/01/2015,Marketing & PR,Communications and Stakeholder Engagement,John Yates Editorial Solutions,76522107,1200,GBP
BIS,EPSRC,09/01/2015,Health & Safety (inc. Medicals & Opticians),PSU HR,Arco Limited,76528095,-13.44,GBP
BIS,EPSRC,09/01/2015,Health & Safety (inc. Medicals & Opticians),PSU HR,Arco Limited,76528095,-2.69,GBP
BIS,EPSRC,09/01/2015,Health & Safety (inc. Medicals & Opticians),PSU HR,Arco Limited,76528095,95.95,GBP
BIS,EPSRC,09/01/2015,Corporate Events,Communications and Stakeholder Engagement,Technology Strategy Board,76530134,5000,GBP
BIS,EPSRC,09/01/2015,T&S UK - Public Transport,Programme Delivery Maths,Unspecified,76552113,19,GBP
BIS,EPSRC,09/01/2015,T&S UK - Public Transport,Programme Delivery Maths,Unspecified,76552114,36.8,GBP
BIS,EPSRC,09/01/2015,T&S UK - Subsistence,Programme Delivery Maths,Unspecified,76552114,5,GBP
BIS,EPSRC,09/01/2015,T&S UK - Subsistence,Programme Delivery Maths,Unspecified,76552114,15.95,GBP
BIS,EPSRC,09/01/2015,T&S UK - Public Transport,Programme Delivery Infrastructure,Unspecified,76552116,63.4,GBP
BIS,EPSRC,09/01/2015,T&S UK - Other Charges,Programme Delivery Healthcare,Unspecified,76552117,1.75,GBP
BIS,EPSRC,09/01/2015,T&S UK - Subsistence,Programme Delivery Healthcare,Unspecified,76552117,7.2,GBP
BIS,EPSRC,09/01/2015,T&S UK - Mileage,Programme Delivery Impact,Unspecified,76552118,68.4,GBP
BIS,EPSRC,09/01/2015,T&S UK - Public Transport,Programme Delivery Impact,Unspecified,76552118,8,GBP
BIS,EPSRC,09/01/2015,T&S UK - Subsistence,Programme Delivery Impact,Unspecified,76552118,5,GBP
BIS,EPSRC,09/01/2015,T&S UK - Subsistence,Programme Delivery Engineering,Unspecified,76552119,8.21,GBP
BIS,EPSRC,09/01/2015,T&S UK - Subsistence,Programme Delivery Engineering,Unspecified,76552119,9.63,GBP
BIS,EPSRC,09/01/2015,T&S UK - Subsistence,Programme Delivery Engineering,Unspecified,76552119,20,GBP
BIS,EPSRC,09/01/2015,T&S UK - Subsistence,Programme Delivery Engineering,Unspecified,76552119,43.5,GBP
BIS,EPSRC,09/01/2015,T&S UK - Vehicle Hire,Programme Delivery Engineering,Unspecified,76552119,14.08,GBP
BIS,EPSRC,09/01/2015,Financial Services,PSU Finance,Royal Bank of Scotland plc/Natwest,76618131,200,GBP
BIS,EPSRC,12/01/2015,Photocopy Costs,JRS,Oce (UK) Ltd,68832074,27.27,GBP
BIS,EPSRC,12/01/2015,Photocopy Costs,JRS,Oce (UK) Ltd,68832074,136.35,GBP
BIS,EPSRC,12/01/2015,Secondments,Chief Executive,University of Southampton,76522100,53377.31,GBP
BIS,EPSRC,12/01/2015,Recruitment Costs,EPSRC Corporate Services,Agenda Resource Management Ltd,76526064,103.44,GBP
BIS,EPSRC,12/01/2015,Photocopy Costs,JRS,Presco,76545155,165.6,GBP
BIS,EPSRC,12/01/2015,Photocopy Costs,JRS,Presco,76545156,16.51,GBP
BIS,EPSRC,12/01/2015,Photocopy Costs,JRS,Presco,76545156,72.36,GBP
BIS,EPSRC,12/01/2015,Photocopy Costs,JRS,Oce (UK) Ltd,76583060,72.9,GBP
BIS,EPSRC,12/01/2015,Photocopy Costs,JRS,Oce (UK) Ltd,76595085,221.53,GBP
BIS,EPSRC,12/01/2015,Photocopy Costs,JRS,Oce (UK) Ltd,76599060,650.98,GBP
BIS,EPSRC,12/01/2015,Photocopy Costs,JRS,Oce (UK) Ltd,76606060,218.7,GBP
BIS,EPSRC,12/01/2015,Photocopy Costs,JRS,Oce (UK) Ltd,76609061,465.25,GBP
BIS,EPSRC,12/01/2015,Photocopy Costs,JRS,Oce (UK) Ltd,76612061,218.7,GBP
BIS,EPSRC,12/01/2015,Photocopy Costs,JRS,Oce (UK) Ltd,76612063,251.36,GBP
BIS,EPSRC,12/01/2015,Photocopy Costs,JRS,Oce (UK) Ltd,76612064,1.82,GBP
BIS,EPSRC,12/01/2015,Photocopy Costs,JRS,Oce (UK) Ltd,76612064,9.11,GBP
BIS,EPSRC,12/01/2015,Photocopy Costs,JRS,Oce (UK) Ltd,76612064,218.7,GBP
BIS,EPSRC,12/01/2015,Photocopy Costs,JRS,Oce (UK) Ltd,76612067,96.73,GBP
BIS,EPSRC,12/01/2015,Photocopy Costs,JRS,Oce (UK) Ltd,76612071,571.9,GBP
BIS,EPSRC,12/01/2015,Photocopy Costs,JRS,Oce (UK) Ltd,76612076,454.7,GBP
BIS,EPSRC,12/01/2015,Photocopy Costs,JRS,Oce (UK) Ltd,76616061,571.9,GBP
BIS,EPSRC,12/01/2015,Photocopy Costs,JRS,Oce (UK) Ltd,76616064,67.36,GBP
BIS,EPSRC,12/01/2015,Photocopy Costs,JRS,Oce (UK) Ltd,76616069,264.62,GBP
